1,Hong Kong,China,27880000.0
2,Bangkok,Thailand,22453000.0
3,London,UK,19827000.0
4,Singapore,Singapore,17618000.0
5,Macau,China,17337000.0
6,Paris,France,15834000.0
7,Dubai,UAE,15790000.0
8,New York City,US,13100000.0
9,Kuala Lumpur,Malaysia,12843000.0
10,Shenzhen,China,12075000.0
11,Phuket,Thailand,11613000.0
12,Istanbul,Turkey,10730000.0
13,Delhi,India,10157000.0
14,Tokyo,Japan,9549000.0
15,Rome,Italy,9531000.0
16,Antalya,Turkey,9482000.0
17,Taipei,Taiwan,9273000.0
18,Guangzhou,China,9004000.0
19,Mumbai,India,8984000.0
20,Prague,Czech Republic,8806000.0
21,Mecca,Saudi Arabia,8632000.0
22,Miami,US,8074999.999999999
23,Amsterdam,Netherlands,7848000.0
24,Seoul,South Korea,7659000.0
25,Pattaya,Thailand,7426000.0
26,Shanghai,China,7193000.0
27,Los Angeles,US,7165000.0
28,Las Vegas,US,6687000.0
29,Agra,India,6644000.0
30,Osaka,Japan,6605000.0
31,Barcelona,Spain,6530000.0
32,Milan,Italy,6347000.0
33,Denpasar,Indonesia,6238000.0
34,Vienna,Austria,6067000.0
35,Canc�n,Mexico,6039000.0
36,Berlin,Germany,5627000.0
37,Johor Bahru,Malaysia,5571000.0
38,Johannesburg,South Africa,5535000.0
39,Ho Chi Minh City,Vietnam,5500000.0
40,Riyadh,Saudi Arabia,5396000.0
41,Venice,Italy,5316000.0
42,Jaipur,India,5288000.0
43,Madrid,Spain,5275000.0
44,Orlando,US,5269000.0
45,Chennai,India,5086000.0
46,Dublin,Ireland,4986000.0
47,Florence,Italy,4941000.0
48,Moscow,Russia,4800000.0
49,Athens,Greece,4797000.0
50,Cairo,Egypt,4388000.0
